T,OTU,Replicate,fit_start,fit_end
32,15,R1,146.5,316.1
32,15,R2,150.5,360.2
32,15,R3,149.5,323.1
32,15,R4,147.5,344.2
32,15,R5,150.5,352.2
32,16,R1,42.1,274.7
32,16,R2,70.2,280.7
32,16,R3,70.2,237.6
32,16,R4,73.2,234.6
32,16,R5,64.2,245.6
32,17,R1,64.2,259.6
32,17,R2,76.2,321.8
32,17,R3,92.2,261.7
32,17,R4,83.2,260.7
32,17,R5,97.2,290.7
32,18,R1,72.2,252.6
32,18,R2,70.2,277.9
32,18,R3,60.1,315.7
32,18,R4,85.2,308.6
32,18,R5,76.2,241.6
34,1,R1,63.2,237.7
34,1,R2,78.2,236.7
34,1,R3,76.2,248.1
34,1,R4,74.2,225.7
34,1,R5,64.2,216.7
34,2,R1,66.2,244.7
34,2,R2,76.2,236.7
34,2,R3,82.2,226.7
34,2,R4,84.2,217.7
34,2,R5,76.2,212.6
34,3,R1,74.2,259.7
34,3,R2,78.2,262.7
34,3,R3,86.2,260.7
34,3,R4,86.2,240.7
34,3,R5,89.2,222.7
34,4,R1,70.2,271.8
34,4,R2,62.1,254.8
34,4,R3,74.2,270.8
34,4,R4,82.2,250.8
34,4,R5,76.2,244.3
34,5,R1,45.1,387.2
34,5,R2,84.2,266.8
34,5,R3,82.2,300
34,5,R4,91.2,294.9
34,5,R5,86.2,280.9
34,6,R1,73.2,448
34,6,R2,79.2,392.9
34,6,R3,79.2,449.9
34,6,R4,96.2,254.7
34,6,R5,76.2,315
34,7,R1,61.2,267.8
34,7,R2,72.2,281.9
34,7,R3,71.2,255.8
34,7,R4,66.2,300
34,7,R5,58.2,257.8
34,8,R1,72.2,256.8
34,8,R2,67.2,288.9
34,8,R3,84.2,271.9
34,8,R4,77.2,258.8
34,8,R5,71.2,239.7
34,9,R1,67.2,273.9
34,9,R2,69.2,282.9
34,9,R3,86.3,274.9
34,9,R4,73.2,277.9
34,9,R5,83.2,285.9
34,10,R1,63.2,274.8
34,10,R2,72.2,259.8
