T,OTU,Replicate,group,otu_label,r,K,delta_Ninoc_to_N0_min,cell_carbon_fg,N_inoculation_cells_per_L,N0_cells_per_L,CUE,growth_fgC_h,respiration_fgC_h,B_bp,B_free
34,2,R2,Clade1,Clade1_2069,0.01251162512995553,0.01150833084342537,76.2,1300,42000000,108968129.8943945,0.2909245405820039,975.9067601365316,2378.594576135062,0.3545262587394938,0.9198110336499727
34,2,R3,Clade1,Clade1_2069,0.01364847092956575,0.01305405339971166,82.2,1300,42000000,128969240.30669317,0.31833419071403346,1064.5807325061292,2279.6429279126323,0.3114759611278008,0.9564480495345128
34,2,R4,Clade1,Clade1_2069,0.01589872910041891,0.01256142437271243,84.2,1300,42000000,160187116.25758347,0.4125122998968844,1240.100869832675,1766.1146300267535,0.20715631921625652,0.7900898426139894
34,2,R5,Clade1,Clade1_2069,0.01525101764384854,0.01362552327468695,76.2,1300,42000000,134262543.47695184,0.34230438861093127,1189.5793762201868,2285.629869701232,0.2794787464117287,0.8934173176425884
34,3,R1,Clade1,Clade1_2070,0.01415152716683883,0.00616295772647901,74.2,1300,42000000,120026545.88944308,0.4883616416826562,1103.819119013429,1156.4303043651275,0.1523904886184177,0.4354977136969799
34,3,R2,Clade1,Clade1_2070,0.01304431366288296,0.00743427443798326,78.2,1300,42000000,116481789.41123848,0.4144609181001712,1017.4564657048712,1437.4347466409008,0.20549847935400586,0.5699245380105488
34,3,R3,Clade1,Clade1_2070,0.01552057492259133,0.00613613124850181,86.2,1300,42000000,160059108.73587635,0.5836984867918327,1210.604843962124,863.4194534383048,0.10374226647710835,0.3953546359658509
34,3,R4,Clade1,Clade1_2070,0.01659560922416712,0.00610630035837579,86.2,1300,42000000,175600430.60782403,0.6230437704572535,1294.4575194850358,783.1774411133663,0.08800526936636467,0.36794674277359923
34,3,R5,Clade1,Clade1_2070,0.01503238920674065,0.00809432002189993,89.2,1300,42000000,160542504.89645776,0.5080150121531513,1172.5263581257714,1135.528187656608,0.14086776196661083,0.5384586515542299
34,4,R1,Clade2,Clade2_2071,0.01167232155936495,0.0046205433071925,70.2,1300,42000000,95303505.3024012,0.4546832352891379,910.4410816304662,1091.922346287669,0.17445210641667708,0.39585469640230575
34,4,R2,Clade2,Clade2_2071,0.0124889150225553,0.00633332410980904,62.1,1300,42000000,91216084.00038116,0.3838371194551247,974.1353717593136,1563.7519830180088,0.23349891666742184,0.5071156380174655
34,4,R3,Clade2,Clade2_2071,0.01180241172115951,0.00772359176123104,74.2,1300,42000000,100827241.08577175,0.3479397669333592,920.5881142504422,1725.237979053696,0.272596299795615,0.6544079247281375
34,4,R4,Clade2,Clade2_2071,0.01214639294056422,0.01002979999201619,82.2,1300,42000000,113989132.8527637,0.3234491263361803,947.4186493640096,1981.6931404736913,0.30425013989714633,0.8257430861239938
34,4,R5,Clade2,Clade2_2071,0.01125043577759349,0.01144944273341874,76.2,1300,42000000,98983465.84659071,0.25197210534989045,877.5339906522922,2605.1292566692377,0.4318188917530408,1.0176888219940419
34,5,R1,Clade2,Clade2_2072,0.0070312006281235,0.00291782258480552,45.1,1300,42000000,57672287.17898462,0.32492181842846285,548.4336489936331,1139.4605393567265,0.3022118619433184,0.4149821259735884
34,5,R2,Clade2,Clade2_2072,0.01000692358312642,0.00674682061801946,84.2,1300,42000000,97539027.8920111,0.33379240043326525,780.5400394838612,1557.8596319008493,0.290314981283875,0.6742152632599179
34,5,R3,Clade2,Clade2_2072,0.01050315849249767,0.0075791065658392,82.2,1300,42000000,99586762.22469226,0.3233911908192717,819.2463624148182,1714.051963799197,0.30433070501152415,0.72160260851561
