T,OTU,Replicate,r,K,O2_0,T_end_min,delta_Ninoc_to_N0_min,N0_cells_per_L,growth_fgC_h,respiration_fgC_h,CUE,resp_over_growth
42,10,R3,0.014755773402243988,0.006328878948399324,9.65449659810077,181.52999999999997,78.2,150981771.5994133,1150.950325375031,944.0822998594681,0.5493710749474385,0.8202632894272338
42,10,R4,0.017693842804895058,0.006749266282724166,8.461930825517118,149.42000000000002,89.3,238309340.43141863,1380.1197387818145,637.8566410905504,0.6839127318572014,0.46217485567851174
42,10,R5,0.0158919284489626,0.006696679635916553,8.240521916548143,166.5,76.2,161235579.3347111,1239.5704190190827,935.4190798040074,0.569920185678978,0.7546316574287395
42,11,R1,0.014559265601808159,0.005534982318432026,8.175550421651268,183.55,82.2,164999779.9278662,1135.6227169410365,755.5104159551541,0.6004985567578092,0.6652829365638532
42,11,R2,0.013190096622610987,0.008426561230670794,8.429133343440435,168.5,77.2,135482192.78152743,1028.827536563657,1400.7987549843338,0.4234509398184685,1.361548661171222
42,11,R3,0.016610491365816,0.007352952178478565,8.30752022750088,153.45,83.3,203897623.84191817,1295.618326533648,812.1891062209996,0.6146758505545417,0.626873740196285
42,11,R4,0.013669828417589397,0.008994735858428452,8.286923862128509,153.45,92.3,174963448.98128694,1066.246616571973,1157.8403126746296,0.4794086969132804,1.0859029184046878
42,11,R5,0.014180648006647121,0.0025024664768147666,6.777526499447897,196.6,58.2,111310674.46501328,1106.0905445184753,506.3362692731596,0.6859787588854928,0.4577710855430806
42,12,R2,0.012353778710721656,0.01161193786228904,8.935473524736585,154.48999999999998,66.2,119452101.36762266,963.5947394362892,2189.3666197864923,0.3056157782009163,2.272082370507014
42,12,R3,0.009410093368074947,0.008821885187693189,7.84964658395783,170.5,52.2,80351432.58060887,733.9872827098459,2472.722385253012,0.22889109358507334,3.3688899569538036
42,12,R4,0.011867380776842778,0.011049580607285704,8.467966158859001,158.48000000000002,62.2,108806275.60103956,925.6557005937367,2287.1751981005264,0.28811217576684023,2.4708703210421326
42,12,R5,0.01229972820561265,0.011376310163511706,8.794472657046661,143.42000000000002,75.2,134014540.07035677,959.3788000377866,1911.8644032462114,0.3341335902651829,1.9928149373020434
42,14,R1,0.005000150048279955,0.003120581452448714,8.149682338805293,392.42,70.2,115162155.1463344,240.00720231743782,610.2858807919794,0.28226408880072384,2.542781528634313
42,14,R2,0.006428389532045566,0.0021204925118233687,7.388296731625187,352.25,47.1,109673892.4659931,308.5626975381872,435.4527815403888,0.41472618005249823,1.4112295005668918
42,14,R3,0.008187895276647917,0.0033017839466985286,9.419392906769449,263.98,138.4,293909675.215191,393.0189732791,253.0127180077771,0.6083586588395025,0.6437671848175678
42,14,R4,0.007706179969715677,0.0023111306739559633,9.95431249376982,340.25,124.4,241271106.26431924,369.8966385463525,215.73806018514108,0.6316166705073355,0.5832387691679618
