"gene","logFC","logCPM","PValue","FDR","is_metab"
"CJI97_004367",1.54377573654918,7.31532513692279,0.00340678894849589,0.0075632396659366,FALSE
"CJI97_002089",0.466534175140559,5.99930969756451,0.00340738243659968,0.0075632396659366,FALSE
"CJI97_001052",0.472488382773127,7.14726770479857,0.00342750693908322,0.0076047810210909,FALSE
"CJI97_003784",0.436370408500661,5.21894656097151,0.00343712194997353,0.00762297987754097,FALSE
"CJI97_001037",0.491584472567621,3.01174897589894,0.00344258077663883,0.00763194982364139,TRUE
"CJI97_000244",0.507198529074636,7.00520962440616,0.00345196419775494,0.00764960936800232,FALSE
"CJI97_000146",0.357866548574725,7.80181168448015,0.00349623713981408,0.00774352410608092,FALSE
"CJI97_003646",0.33777483513668,6.99169713001073,0.00349754515924698,0.00774352410608092,TRUE
"CJI97_004578",0.289418934914333,6.5804552248178,0.00349864932739535,0.00774352410608092,FALSE
"CJI97_000639",0.301295123064796,5.88992141740149,0.00352161033772423,0.00779114775824515,FALSE
"CJI97_000394",-0.357576338618118,3.42012393237933,0.00353452021740712,0.00781650454636427,FALSE
"CJI97_000838",-0.529363036651261,1.40980802086727,0.00355023369874704,0.00784803811488694,TRUE
"CJI97_002934",0.600452950360757,8.66565433329999,0.00359072258612868,0.00793429118540146,FALSE
"CJI97_002624",-0.645943688960746,3.32089364847907,0.00360526093864546,0.00796315514733152,FALSE
"CJI97_002533",0.430033402118678,4.69962858976015,0.00361715237101214,0.00798615147053252,FALSE
"CJI97_001103",-0.389831786340102,5.58457021937528,0.00362688058427099,0.00800435486001074,FALSE
"CJI97_001455",0.365278711063648,6.85190748471043,0.00366134187600631,0.00807710579024122,TRUE
"CJI97_001122",1.63255571675513,7.51734324862868,0.00368001729859487,0.00811200734410758,FALSE
"CJI97_003823",-1.09914311576072,6.32359596655575,0.0036801693807219,0.00811200734410758,FALSE
"CJI97_003453",0.723548179029798,6.35195278566302,0.00368290328061391,0.00811471870240616,FALSE
"CJI97_001869",-1.20610283986344,4.85747575192023,0.00368805366531264,0.00812275003184775,FALSE
"CJI97_000466",-0.338737370848788,6.33118906589394,0.00369080972795801,0.00812550358713236,FALSE
"CJI97_005575",-0.549984944886082,3.09468044930041,0.00370996652460359,0.00816434721319779,FALSE
"CJI97_003037",-0.705514161944021,7.40920038633771,0.00371376516381337,0.00816937497918343,FALSE
"CJI97_004270",-0.459153696503346,5.0059528100122,0.00372475872686749,0.0081871765314566,FALSE
"CJI97_000596",-0.829006099582711,6.29041391544969,0.00372489221362601,0.0081871765314566,FALSE
"CJI97_002550",1.01632917741845,8.47403173787898,0.00373523456807361,0.00820656585070245,TRUE
"CJI97_003148",-0.619451597761146,6.99940441153636,0.00375072949325162,0.00823725532990872,FALSE
"CJI97_003362",0.289397628270975,7.70216783726112,0.00376088407088388,0.00825619627603313,FALSE
