T,OTU,Replicate,fit_start_time,fit_end_time,delta_Ninoc_to_N0_min,n0_ramp_factor,N_inoculation_cells_per_L
30,16,R4,58.2,281.8,0,1,14000000
30,16,R5,63.2,252.7,0,1,14000000
30,17,R1,79.2,329,0,1,14000000
30,17,R2,84.2,323.9,0,1,14000000
30,17,R3,76.2,266.8,0,1,14000000
30,17,R4,68.2,327,0,1,14000000
30,17,R5,73.2,260.7,0,1,14000000
30,18,R1,89.3,385.1,0,1,14000000
30,18,R2,89.3,339,0,1,14000000
30,18,R3,101.3,389.1,0,1,14000000
30,18,R4,100.3,290.8,0,1,14000000
30,18,R5,95.3,319.9,0,1,14000000
32,1,R1,45.1,326,0,1,42000000
32,1,R2,78.2,255.8,0,1,42000000
32,1,R3,70.2,252.8,0,1,42000000
32,1,R4,69.2,233.7,0,1,42000000
32,1,R5,52.1,240.7,0,1,42000000
32,2,R1,45.1,247.8,0,1,42000000
32,2,R2,56.1,238.7,0,1,42000000
32,2,R3,89.2,222.7,0,1,42000000
32,2,R4,84.2,224.7,0,1,42000000
32,2,R5,79.2,217.7,0,1,42000000
32,3,R1,75.2,287.9,0,1,42000000
32,3,R2,86.2,275.9,0,1,42000000
32,3,R3,88.2,254.8,0,1,42000000
32,3,R4,94.2,297.9,0,1,42000000
32,3,R5,86.2,247.8,0,1,42000000
32,4,R1,34.1,322,0,1,42000000
32,4,R2,78.2,299,0,1,42000000
32,4,R3,63.2,270.9,0,1,42000000
32,4,R4,70.2,288,0,1,42000000
32,4,R5,68.2,268.9,0,1,42000000
32,5,R1,75.2,360.2,0,1,42000000
32,5,R2,47.1,261.8,0,1,42000000
32,5,R3,75.2,326.1,0,1,42000000
32,5,R4,58.2,315,0,1,42000000
32,5,R5,58.2,264.9,0,1,42000000
32,6,R1,76.2,392.2,0,1,42000000
32,6,R2,57.2,451.4,0,1,42000000
32,6,R3,58.2,352.1,0,1,42000000
32,6,R4,79.2,387.2,0,1,42000000
32,6,R5,44.1,327.1,0,1,42000000
32,7,R1,61.2,255.8,0,1,42000000
32,7,R2,67.2,286,0,1,42000000
32,7,R3,77.3,288,0,1,42000000
32,7,R4,77.3,292,0,1,42000000
32,7,R5,70.2,255.8,0,1,42000000
32,8,R1,102.3,307,0,1,42000000
32,8,R2,68.2,266.9,0,1,42000000
32,8,R3,83.3,277,0,1,42000000
32,8,R4,84.3,300,0,1,42000000
32,8,R5,89.3,270.9,0,1,42000000
32,9,R1,79.3,281,0,1,42000000
32,9,R2,92.3,304,0,1,42000000
32,9,R3,79.3,317,0,1,42000000
32,9,R4,92.3,306,0,1,42000000
32,9,R5,89.3,297,0,1,42000000
32,10,R1,45.1,291.9,0,1,42000000
32,10,R2,91.3,281.9,0,1,42000000
32,10,R3,79.2,275.9,0,1,42000000
32,10,R4,69.2,227.7,0,1,42000000
32,10,R5,74.2,296.9,0,1,42000000
32,11,R1,74.2,326,0,1,42000000
32,11,R2,91.3,312,0,1,42000000
32,11,R3,88.3,287.9,0,1,42000000
32,11,R4,91.3,296.9,0,1,42000000
32,11,R5,97.3,249.8,0,1,42000000
32,12,R1,73.2,251.8,0,1,42000000
32,12,R2,79.2,272.9,0,1,42000000
32,12,R3,78.2,283.9,0,1,42000000
32,12,R4,88.3,306.9,0,1,42000000
32,12,R5,91.3,247.8,0,1,42000000
32,13,R1,78.2,463.6,0,1,69000000
32,13,R2,150.5,388.3,0,1,69000000
32,13,R3,127.4,358.2,0,1,69000000
32,13,R4,69.2,491.7,0,1,69000000
32,13,R5,62.2,329.1,0,1,69000000
32,14,R1,146.5,399.4,0,1,69000000
32,14,R2,218.8,449.6,0,1,69000000
32,14,R3,179.6,407.4,0,1,69000000
32,14,R4,153.5,403.4,0,1,69000000
32,14,R5,132.4,394.4,0,1,69000000
32,15,R1,146.5,316.1,0,1,69000000
32,15,R2,150.5,360.2,0,1,69000000
32,15,R3,149.5,323.1,0,1,69000000
32,15,R4,147.5,344.2,0,1,69000000
32,15,R5,150.5,352.2,0,1,69000000
32,16,R1,42.1,274.7,0,1,14000000
32,16,R2,70.2,280.7,0,1,14000000
32,16,R3,70.2,237.6,0,1,14000000
32,16,R4,73.2,234.6,0,1,14000000
32,16,R5,64.2,245.6,0,1,14000000
32,17,R1,64.2,259.6,0,1,14000000
32,17,R2,76.2,321.8,0,1,14000000
32,17,R3,92.2,261.7,0,1,14000000
32,17,R4,83.2,260.7,0,1,14000000
32,17,R5,97.2,290.7,0,1,14000000
32,18,R1,72.2,252.6,0,1,14000000
32,18,R2,70.2,277.9,0,1,14000000
32,18,R3,60.1,315.7,0,1,14000000
32,18,R4,85.2,308.6,0,1,14000000
32,18,R5,76.2,241.6,0,1,14000000
34,1,R1,63.2,237.7,0,1,42000000
34,1,R2,78.2,236.7,0,1,42000000
34,1,R3,76.2,248.1,0,1,42000000
34,1,R4,74.2,225.7,0,1,42000000
34,1,R5,64.2,216.7,0,1,42000000
34,2,R1,66.2,244.7,0,1,42000000
34,2,R2,76.2,236.7,0,1,42000000
34,2,R3,82.2,226.7,0,1,42000000
34,2,R4,84.2,217.7,0,1,42000000
34,2,R5,76.2,212.6,0,1,42000000
