T,OTU,Replicate,n_pts,drawdown
32.0,1,R1,251,6.140000000000001
32.0,1,R2,204,7.499999999999999
32.0,1,R3,202,6.870000000000001
32.0,1,R4,190,7.25
32.0,1,R5,206,6.5600000000000005
32.0,2,R1,236,5.7700000000000005
32.0,2,R2,219,6.0
32.0,2,R3,180,7.32
32.0,2,R4,184,7.279999999999999
32.0,2,R5,193,6.72
32.0,3,R1,232,7.029999999999999
32.0,3,R2,221,6.91
32.0,3,R3,191,6.710000000000001
32.0,3,R4,220,6.96
32.0,3,R5,201,7.46
32.0,4,R1,330,6.25
32.0,4,R2,266,7.079999999999999
32.0,4,R3,257,7.180000000000001
32.0,4,R4,268,7.37
32.0,4,R5,245,6.9799999999999995
32.0,5,R1,320,7.17
32.0,5,R2,336,6.540000000000001
32.0,5,R3,286,7.210000000000001
32.0,5,R4,312,6.1000000000000005
32.0,5,R5,303,7.069999999999999
32.0,6,R1,343,7.23
32.0,6,R2,370,6.3
32.0,6,R3,349,6.88
32.0,6,R4,321,7.15
32.0,6,R5,362,6.380000000000001
32.0,7,R1,256,6.879999999999999
32.0,7,R2,234,6.96
32.0,7,R3,252,6.82
32.0,7,R4,241,7.119999999999999
32.0,7,R5,243,7.51
32.0,8,R1,227,7.52
32.0,8,R2,262,6.970000000000001
32.0,8,R3,234,7.15
32.0,8,R4,239,7.14
32.0,8,R5,227,7.08
32.0,9,R1,261,7.14
32.0,9,R2,255,7.2299999999999995
32.0,9,R3,294,6.01
32.0,9,R4,256,7.119999999999999
32.0,9,R5,236,7.430000000000001
32.0,10,R1,307,6.06
32.0,10,R2,239,7.210000000000001
32.0,10,R3,230,6.97
32.0,10,R4,216,6.800000000000001
32.0,10,R5,236,6.830000000000001
32.0,11,R1,260,7.250000000000001
32.0,11,R2,243,7.33
32.0,11,R3,240,6.76
32.0,11,R4,222,7.299999999999999
32.0,11,R5,222,7.35
32.0,12,R1,238,7.52
32.0,12,R2,222,7.170000000000001
32.0,12,R3,219,7.5
32.0,12,R4,241,7.54
32.0,12,R5,212,7.430000000000001
32.0,13,R1,451,7.610000000000001
32.0,13,R2,404,8.379999999999999
32.0,13,R3,427,8.41
32.0,13,R4,498,7.099999999999998
32.0,13,R5,454,7.359999999999999
32.0,14,R1,523,8.34
32.0,14,R2,501,7.86
32.0,14,R3,571,7.76
32.0,14,R4,535,8.13
32.0,14,R5,536,7.640000000000001
32.0,15,R1,349,6.470000000000001
32.0,15,R2,389,7.77
32.0,15,R3,301,7.64
32.0,15,R4,336,7.8100000000000005
32.0,15,R5,359,8.1
32.0,16,R1,263,6.950000000000001
32.0,16,R2,218,7.34
32.0,16,R3,200,7.32
32.0,16,R4,186,7.43
32.0,16,R5,185,6.470000000000001
32.0,17,R1,274,6.48
32.0,17,R2,252,8.0
32.0,17,R3,219,7.489999999999999
32.0,17,R4,190,7.4300000000000015
32.0,17,R5,211,7.720000000000001
32.0,18,R1,250,7.640000000000001
32.0,18,R2,236,7.300000000000001
32.0,18,R3,285,6.590000000000001
32.0,18,R4,239,7.609999999999999
32.0,18,R5,178,6.66
32.0,19,R1,203,7.090000000000001
32.0,19,R2,225,6.969999999999999
32.0,19,R3,239,6.92
32.0,19,R4,220,7.05
32.0,19,R5,224,7.0600000000000005
32.0,20,R1,317,6.1000000000000005
32.0,20,R2,282,7.08
32.0,20,R3,304,7.45
32.0,20,R4,336,6.01
32.0,20,R5,291,7.460000000000001
32.0,21,R1,389,7.140000000000001
32.0,21,R2,373,7.079999999999999
32.0,21,R3,302,5.66
32.0,21,R4,272,5.92
32.0,21,R5,371,7.5200000000000005
32.0,22,R1,240,5.979999999999999
32.0,22,R2,226,5.94
32.0,22,R3,219,5.860000000000001
32.0,22,R4,228,5.8999999999999995
32.0,22,R5,227,6.049999999999999
32.0,23,R1,265,5.92
32.0,23,R2,236,6.11
32.0,23,R3,258,5.87
32.0,23,R4,239,5.9799999999999995
32.0,23,R5,233,5.93
34.0,1,R1,217,6.02
34.0,1,R2,194,6.620000000000001
34.0,1,R3,172,6.850000000000001
34.0,1,R4,168,6.689999999999998
34.0,1,R5,162,6.559999999999999
34.0,2,R1,195,7.36
34.0,2,R2,175,6.869999999999997
34.0,2,R3,170,7.13
34.0,2,R4,146,6.880000000000001
34.0,2,R5,148,6.959999999999997
34.0,3,R1,204,7.1
34.0,3,R2,198,6.710000000000001
34.0,3,R3,193,7.109999999999999
34.0,3,R4,172,6.7
34.0,3,R5,179,6.67
34.0,4,R1,257,7.09
34.0,4,R2,226,6.53
34.0,4,R3,210,6.449999999999999
34.0,4,R4,195,7.12
34.0,4,R5,194,6.9799999999999995
34.0,5,R1,377,5.819999999999999
34.0,5,R2,249,6.550000000000001
34.0,5,R3,227,6.869999999999999
34.0,5,R4,255,5.96
34.0,5,R5,225,6.75
34.0,6,R1,384,6.71
34.0,6,R2,362,6.84
34.0,6,R3,389,5.57
34.0,6,R4,362,6.67
34.0,6,R5,331,6.8
34.0,7,R1,245,7.279999999999999
34.0,7,R2,242,7.08
34.0,7,R3,220,7.360000000000001
34.0,7,R4,230,7.489999999999999
34.0,7,R5,231,7.140000000000001
34.0,8,R1,227,7.46
34.0,8,R2,238,7.18
34.0,8,R3,221,7.279999999999999
34.0,8,R4,211,7.119999999999999
34.0,8,R5,196,7.460000000000001
34.0,9,R1,246,7.35
34.0,9,R2,235,7.8100000000000005
34.0,9,R3,232,7.1
34.0,9,R4,239,7.33
34.0,9,R5,234,7.51
34.0,10,R1,245,6.739999999999999
34.0,10,R2,229,6.630000000000001
34.0,10,R3,241,6.359999999999999
34.0,10,R4,229,6.65
34.0,10,R5,210,6.83
34.0,11,R1,225,6.7700000000000005
34.0,11,R2,220,6.630000000000001
34.0,11,R3,213,6.75
34.0,11,R4,207,6.829999999999997
34.0,11,R5,218,7.170000000000001
34.0,12,R1,205,6.720000000000001
34.0,12,R2,206,6.66
34.0,12,R3,203,6.81
34.0,12,R4,202,6.540000000000001
34.0,12,R5,192,7.119999999999999
34.0,13,R1,389,7.4399999999999995
34.0,13,R2,377,7.14
34.0,13,R3,378,7.63
34.0,13,R4,429,6.13
34.0,13,R5,377,7.41
34.0,14,R1,492,7.120000000000001
34.0,14,R2,429,7.49
34.0,14,R3,381,7.550000000000001
34.0,14,R4,315,7.6899999999999995
34.0,14,R5,351,7.8
34.0,15,R1,360,7.930000000000001
34.0,15,R2,341,7.370000000000001
34.0,15,R3,337,6.83
34.0,15,R4,320,7.42
34.0,15,R5,258,8.170000000000002
34.0,16,R1,244,6.96
34.0,16,R2,222,7.119999999999997
34.0,16,R3,231,6.8500000000000005
34.0,16,R4,202,6.86
34.0,16,R5,215,7.03
34.0,17,R1,220,6.96
34.0,17,R2,198,7.0
34.0,17,R3,229,6.389999999999999
34.0,17,R4,215,6.960000000000001
34.0,17,R5,212,6.949999999999999
34.0,18,R1,278,7.53
34.0,18,R2,273,7.2299999999999995
34.0,18,R3,329,6.260000000000001
34.0,18,R4,265,7.11
34.0,18,R5,270,7.2700000000000005
34.0,19,R1,185,7.43
34.0,19,R2,205,7.34
34.0,19,R3,210,7.7
34.0,19,R4,205,7.2700000000000005
34.0,19,R5,233,6.039999999999999
34.0,20,R1,287,6.59
34.0,20,R2,338,7.529999999999999
34.0,20,R3,284,7.159999999999999
34.0,20,R4,353,5.99
34.0,20,R5,314,7.719999999999999
34.0,21,R1,402,7.640000000000001
34.0,21,R2,410,6.369999999999999
34.0,21,R3,328,7.7
34.0,21,R4,406,6.370000000000001
34.0,21,R5,410,6.040000000000001
34.0,22,R1,252,6.869999999999999
34.0,22,R2,251,6.639999999999999
34.0,22,R3,266,6.74
34.0,22,R4,270,6.84
34.0,22,R5,258,6.63
34.0,23,R1,273,6.789999999999999
34.0,23,R2,254,6.69
34.0,23,R3,292,6.790000000000001
34.0,23,R4,278,6.739999999999999
34.0,23,R5,283,6.92
36.0,1,R1,209,6.22
36.0,1,R2,214,6.14
36.0,1,R3,180,6.66
36.0,1,R4,162,6.6899999999999995
36.0,1,R5,160,7.3100000000000005
36.0,2,R1,213,6.33
36.0,2,R2,180,7.129999999999997
36.0,2,R3,179,6.6999999999999975
36.0,2,R4,149,6.859999999999999
36.0,2,R5,182,6.6899999999999995
36.0,3,R1,200,7.119999999999999
36.0,3,R2,220,6.3500000000000005
36.0,3,R3,181,7.01
