T,OTU,Replicate,drawdown
30.0,19,R4,7.369999999999999
30.0,19,R5,7.78
30.0,20,R1,7.87
30.0,20,R2,7.549999999999999
30.0,20,R3,7.540000000000001
30.0,20,R4,7.699999999999999
30.0,20,R5,7.51
30.0,21,R1,7.4399999999999995
30.0,21,R2,5.949999999999999
30.0,21,R3,7.45
30.0,21,R4,7.18
30.0,21,R5,7.92
30.0,22,R1,7.010000000000001
30.0,22,R2,6.22
30.0,22,R3,7.049999999999999
30.0,22,R4,6.53
30.0,22,R5,6.950000000000001
30.0,23,R1,7.15
30.0,23,R2,6.809999999999999
30.0,23,R3,6.7
30.0,23,R4,6.8100000000000005
30.0,23,R5,6.81
32.0,1,R1,6.140000000000001
32.0,1,R2,7.489999999999999
32.0,1,R3,6.870000000000001
32.0,1,R4,7.24
32.0,1,R5,6.5600000000000005
32.0,2,R1,5.7700000000000005
32.0,2,R2,5.99
32.0,2,R3,7.32
32.0,2,R4,7.27
32.0,2,R5,6.71
32.0,3,R1,7.02
32.0,3,R2,6.91
32.0,3,R3,6.700000000000001
32.0,3,R4,6.95
32.0,3,R5,7.45
32.0,4,R1,6.24
32.0,4,R2,7.06
32.0,4,R3,7.180000000000001
32.0,4,R4,7.37
32.0,4,R5,6.9799999999999995
32.0,5,R1,7.17
32.0,5,R2,6.540000000000001
32.0,5,R3,7.210000000000001
32.0,5,R4,6.1000000000000005
32.0,5,R5,7.06
32.0,6,R1,7.220000000000001
32.0,6,R2,6.3
32.0,6,R3,6.8500000000000005
32.0,6,R4,7.15
32.0,6,R5,6.359999999999998
32.0,7,R1,6.869999999999999
32.0,7,R2,6.95
32.0,7,R3,6.8100000000000005
32.0,7,R4,7.09
32.0,7,R5,7.5
32.0,8,R1,7.51
32.0,8,R2,6.970000000000001
32.0,8,R3,7.139999999999999
32.0,8,R4,7.12
32.0,8,R5,7.0600000000000005
32.0,9,R1,7.13
32.0,9,R2,7.2299999999999995
32.0,9,R3,6.01
32.0,9,R4,7.09
32.0,9,R5,7.430000000000001
32.0,10,R1,6.05
32.0,10,R2,7.200000000000001
32.0,10,R3,6.96
32.0,10,R4,6.790000000000001
32.0,10,R5,6.830000000000001
32.0,11,R1,7.240000000000001
32.0,11,R2,7.33
32.0,11,R3,6.76
32.0,11,R4,7.299999999999999
32.0,11,R5,7.34
32.0,12,R1,7.52
32.0,12,R2,7.159999999999999
32.0,12,R3,7.49
32.0,12,R4,7.54
32.0,12,R5,7.410000000000001
32.0,13,R1,7.59
32.0,13,R2,8.370000000000001
32.0,13,R3,8.38
32.0,13,R4,7.09
32.0,13,R5,7.34
32.0,14,R1,8.34
32.0,14,R2,7.8500000000000005
32.0,14,R3,7.75
32.0,14,R4,8.1
32.0,14,R5,7.620000000000001
32.0,15,R1,6.41
32.0,15,R2,7.74
32.0,15,R3,7.63
32.0,15,R4,7.8100000000000005
32.0,15,R5,8.08
32.0,16,R1,6.950000000000001
32.0,16,R2,7.32
32.0,16,R3,7.32
32.0,16,R4,7.42
32.0,16,R5,6.470000000000001
32.0,17,R1,6.470000000000001
32.0,17,R2,8.0
32.0,17,R3,7.489999999999999
32.0,17,R4,7.41
32.0,17,R5,7.720000000000001
32.0,18,R1,7.630000000000001
32.0,18,R2,7.290000000000001
32.0,18,R3,6.579999999999999
32.0,18,R4,7.6
32.0,18,R5,6.66
32.0,19,R1,7.079999999999999
32.0,19,R2,6.969999999999999
32.0,19,R3,6.92
32.0,19,R4,7.04
32.0,19,R5,7.040000000000001
32.0,20,R1,6.09
32.0,20,R2,7.07
32.0,20,R3,7.420000000000001
32.0,20,R4,6.0
32.0,20,R5,7.450000000000001
32.0,21,R1,7.130000000000001
32.0,21,R2,7.069999999999999
32.0,21,R3,5.66
32.0,21,R4,5.809999999999999
32.0,21,R5,7.5200000000000005
32.0,22,R1,5.979999999999999
32.0,22,R2,5.930000000000001
32.0,22,R3,5.860000000000001
32.0,22,R4,5.89
32.0,22,R5,6.049999999999999
32.0,23,R1,5.92
32.0,23,R2,6.1000000000000005
32.0,23,R3,5.87
32.0,23,R4,5.9799999999999995
32.0,23,R5,5.92
34.0,1,R1,6.02
34.0,1,R2,6.610000000000001
34.0,1,R3,6.850000000000001
34.0,1,R4,6.689999999999998
34.0,1,R5,6.559999999999999
34.0,2,R1,6.840000000000001
34.0,2,R2,6.869999999999997
34.0,2,R3,7.13
34.0,2,R4,6.880000000000001
34.0,2,R5,6.959999999999997
34.0,3,R1,7.09
34.0,3,R2,6.710000000000001
34.0,3,R3,7.1
34.0,3,R4,6.680000000000001
34.0,3,R5,6.67
34.0,4,R1,6.66
34.0,4,R2,6.51
34.0,4,R3,6.4399999999999995
34.0,4,R4,7.11
34.0,4,R5,6.97
34.0,5,R1,5.8
34.0,5,R2,6.550000000000001
34.0,5,R3,6.869999999999999
34.0,5,R4,5.96
34.0,5,R5,6.74
34.0,6,R1,5.98
34.0,6,R2,6.84
34.0,6,R3,5.550000000000001
34.0,6,R4,6.66
34.0,6,R5,6.8
34.0,7,R1,7.279999999999999
34.0,7,R2,7.059999999999999
34.0,7,R3,7.34
34.0,7,R4,7.489999999999999
34.0,7,R5,7.130000000000001
34.0,8,R1,7.46
34.0,8,R2,7.18
34.0,8,R3,7.27
34.0,8,R4,7.109999999999999
34.0,8,R5,7.460000000000001
34.0,9,R1,7.34
34.0,9,R2,7.800000000000001
34.0,9,R3,7.1
34.0,9,R4,7.33
34.0,9,R5,7.5
34.0,10,R1,6.739999999999999
34.0,10,R2,6.630000000000001
34.0,10,R3,6.359999999999999
34.0,10,R4,6.639999999999999
34.0,10,R5,6.83
34.0,11,R1,6.7700000000000005
34.0,11,R2,6.609999999999998
34.0,11,R3,6.75
34.0,11,R4,6.81
34.0,11,R5,7.1599999999999975
34.0,12,R1,6.710000000000001
34.0,12,R2,6.66
34.0,12,R3,6.81
34.0,12,R4,6.530000000000001
34.0,12,R5,7.119999999999999
34.0,13,R1,7.4399999999999995
34.0,13,R2,7.12
34.0,13,R3,7.62
